id,gender,bdate,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
137,Male,7/12/1937,100,Manager,65000.0,37500.0,88.0,264,No
130,Male,9/6/1958,20,Manager,59375.0,30000.0,89.0,6,No
173,Male,1/15/1950,1,Manager,69250.0,42480.0,85.0,134,No
27,Male,3/19/1954,19,Manager,60375.0,27480.0,96.0,96,No
29,Male,1/28/1944,19,Manager,135000.0,79980.0,96.0,199,No
32,Male,1/28/1954,19,Manager,110625.0,45000.0,96.0,120,No
34,Male,2/2/1949,19,Manager,92000.0,39990.0,96.0,175,No
66,Male,2/16/1962,19,Manager,78125.0,30000.0,93.0,7,No
88,Male,2/10/1962,19,Manager,72500.0,28740.0,92.0,10,No
89,Male,6/24/1961,19,Manager,68750.0,27480.0,92.0,8,No
103,Male,3/17/1959,19,Manager,97000.0,35010.0,91.0,68,No
106,Male,8/4/1962,19,Manager,91250.0,29490.0,91.0,23,No
198,Male,3/17/1952,19,Manager,70875.0,43500.0,83.0,156,No
232,Male,9/13/1963,19,Manager,55500.0,33750.0,81.0,62,No
235,Male,9/11/1962,19,Manager,75000.0,31500.0,81.0,13,No
256,Male,1/3/1948,19,Manager,52125.0,27480.0,80.0,221,No
257,Male,9/24/1951,19,Manager,61875.0,36750.0,80.0,199,No
283,Male,2/25/1963,19,Manager,68125.0,32010.0,78.0,35,No
284,Male,10/10/1961,19,Manager,73500.0,33000.0,78.0,45,No
387,Male,2/3/1965,19,Manager,65000.0,31980.0,69.0,74,No
389,Male,4/15/1959,19,Manager,66875.0,32490.0,69.0,81,No
408,Male,2/12/1964,19,Manager,61250.0,33000.0,68.0,9,No
409,Male,11/21/1962,19,Clerical,36000.0,19500.0,68.0,21,No
420,Male,7/16/1957,19,Manager,70000.0,35040.0,67.0,75,No
430,Male,4/29/1956,19,Manager,66250.0,34980.0,67.0,99,Yes
450,Male,7/21/1954,19,Manager,55000.0,34980.0,65.0,129,No
454,Male,7/28/1965,19,Manager,90625.0,31250.0,65.0,18,No
456,Male,10/17/1959,19,Manager,75000.0,42510.0,65.0,54,No
458,Male,7/6/1965,19,Manager,61875.0,28740.0,65.0,26,No
464,Male,3/20/1962,19,Manager,47550.0,33000.0,64.0,27,No
53,Male,4/21/1954,18,Manager,73750.0,26250.0,94.0,56,No
100,Male,10/25/1963,18,Manager,78250.0,27480.0,91.0,47,No
146,Male,1/2/1951,18,Clerical,43950.0,23250.0,88.0,182,Yes
254,Male,2/8/1964,18,Manager,68125.0,32490.0,80.0,29,No
272,Male,6/17/1964,18,Clerical,66875.0,31980.0,79.0,30,No
290,Male,4/5/1954,18,Manager,51450.0,36240.0,78.0,149,No
328,Male,10/25/1952,18,Manager,55000.0,32490.0,75.0,125,No
329,Male,8/24/1958,18,Manager,62500.0,34980.0,75.0,74,No
431,Male,1/15/1959,18,Manager,86250.0,45000.0,66.0,50,No
35,Male,8/22/1961,17,Manager,81250.0,30000.0,96.0,18,No
63,Male,8/20/1961,17,Manager,55000.0,26250.0,93.0,32,No
71,Male,8/26/1948,17,Manager,82500.0,34980.0,93.0,207,No
97,Male,1/18/1953,17,Clerical,40200.0,19500.0,92.0,168,Yes
129,Male,7/18/1959,17,Manager,68750.0,27510.0,89.0,38,No
200,Male,2/13/1963,17,Manager,67500.0,34980.0,83.0,9,No
289,Male,10/27/1964,17,Manager,65000.0,30750.0,78.0,26,No
349,Female,3/22/1938,17,Clerical,29100.0,12750.0,73.0,375,No
381,Male,7/15/1946,17,Clerical,27000.0,18000.0,70.0,192,Yes
383,Male,6/3/1961,17,Manager,78500.0,28740.0,70.0,67,Yes
406,Male,10/5/1965,17,Manager,60000.0,32490.0,68.0,17,No
11,Female,2/7/1950,16,Clerical,30300.0,16500.0,98.0,143,No
18,Male,3/20/1956,16,Manager,103750.0,27510.0,97.0,70,No
21,Female,2/19/1963,16,Clerical,38850.0,15000.0,97.0,17,No
39,Male,6/22/1960,16,Clerical,36000.0,15000.0,96.0,46,Yes
50,Male,2/9/1960,16,Manager,60000.0,23730.0,94.0,59,No
62,Male,7/18/1962,16,Manager,48000.0,21750.0,93.0,22,No
64,Male,9/28/1963,16,Manager,53125.0,21000.0,93.0,48,No
67,Male,5/28/1964,16,Manager,46000.0,21240.0,93.0,35,No
68,Male,5/5/1963,16,Manager,45250.0,21480.0,93.0,36,No
69,Male,6/23/1960,16,Manager,56550.0,25000.0,93.0,34,No
72,Female,1/7/1964,16,Clerical,54000.0,18000.0,93.0,11,No
79,Female,1/23/1962,16,Clerical,34800.0,14550.0,93.0,8,No
80,Female,5/25/1961,16,Clerical,51000.0,18000.0,93.0,22,No
101,Male,3/14/1960,16,Manager,60625.0,22500.0,91.0,44,No
113,Male,10/6/1959,16,Manager,54875.0,27480.0,90.0,68,No
120,Female,11/12/1964,16,Manager,37800.0,15750.0,90.0,7,No
124,Female,5/29/1963,16,Clerical,38550.0,16500.0,90.0,missing,No
134,Female,11/10/1941,16,Manager,41550.0,24990.0,89.0,285,No
151,Male,8/16/1954,16,Manager,42300.0,26250.0,87.0,126,No
159,Female,1/13/1951,16,Clerical,25050.0,12750.0,87.0,123,Yes
160,Male,8/27/1951,16,Manager,66000.0,47490.0,86.0,150,No
161,Male,2/11/1963,16,Clerical,52650.0,19500.0,86.0,20,No
162,Male,5/25/1961,16,Manager,45625.0,23250.0,86.0,60,No
168,Female,4/23/1962,16,Manager,46875.0,17250.0,86.0,19,No
176,Female,10/5/1962,16,Clerical,35700.0,17250.0,85.0,19,No
187,Male,7/29/1963,16,Manager,58750.0,21750.0,84.0,13,No
196,Female,3/3/1946,16,Clerical,23100.0,12000.0,84.0,214,Yes
199,Male,2/2/1958,16,Manager,51250.0,27480.0,83.0,69,No
205,Male,6/22/1944,16,Manager,66750.0,52500.0,83.0,258,No
217,Male,3/15/1949,16,Clerical,34620.0,27750.0,82.0,149,No
226,Female,6/21/1964,16,Clerical,23250.0,15750.0,82.0,4,No
231,Male,1/9/1965,16,Manager,40200.0,21000.0,81.0,3,No
240,Female,6/15/1961,16,Manager,54375.0,18750.0,81.0,81,No
266,Female,10/7/1963,16,Clerical,34500.0,17250.0,80.0,3,No
274,Male,8/4/1964,16,Manager,83750.0,21750.0,79.0,12,No
276,Male,5/11/1965,16,Manager,56500.0,21000.0,79.0,12,No
277,Female,5/20/1965,16,Manager,43000.0,17490.0,79.0,20,No
287,Male,1/18/1965,16,Clerical,40350.0,19500.0,78.0,20,No
300,Male,5/26/1960,16,Clerical,26550.0,15000.0,78.0,105,Yes
307,Male,7/24/1945,16,Manager,50000.0,32490.0,77.0,264,No
310,Male,3/23/1964,16,Clerical,44875.0,21240.0,77.0,22,No
318,Male,2/19/1961,16,Manager,48750.0,21990.0,76.0,61,No
332,Female,5/10/1964,16,Clerical,33000.0,18000.0,75.0,26,No
336,Male,1/10/1964,16,Manager,47250.0,21240.0,74.0,45,No
343,Male,6/9/1953,16,Manager,103500.0,60000.0,73.0,150,No
348,Female,6/11/1962,16,Manager,56750.0,30000.0,73.0,15,No
363,Male,6/3/1954,16,Clerical,35700.0,18000.0,72.0,138,Yes
370,Female,1/20/1963,16,Clerical,36600.0,18000.0,71.0,12,No
371,Female,4/5/1966,16,Manager,58125.0,18000.0,71.0,11,No
413,Female,3/13/1966,16,Manager,43500.0,19500.0,68.0,11,No
426,Male,10/27/1952,16,Clerical,33300.0,17490.0,67.0,120,Yes
446,Male,8/3/1958,16,Manager,100000.0,44100.0,66.0,128,Yes
449,Male,1/2/1966,16,Manager,70000.0,21750.0,65.0,19,No
455,Male,1/17/1964,16,Manager,43650.0,19500.0,65.0,19,No
462,Female,10/18/1963,16,Manager,34410.0,19500.0,65.0,79,No
467,Female,8/18/1967,16,Clerical,32850.0,19500.0,64.0,20,No
468,Female,11/28/1965,16,Manager,55750.0,19980.0,64.0,36,No
1,Male,2/3/1952,15,Manager,57000.0,27000.0,98.0,144,No
5,Male,2/9/1955,15,Clerical,45000.0,21000.0,98.0,138,No
6,Male,8/22/1958,15,Clerical,32100.0,13500.0,98.0,67,No
7,Male,4/26/1956,15,Clerical,36000.0,18750.0,98.0,114,No
